: 1_Inflectional_morphology - I01 [noun - plural_reg]
album albums
goat bovid/mammal/vertebrate/ungulate/beast/being/animal/organism/fauna/placental/artiodactyl/chordate/eutherian/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/hoofed_mammal/even-toed_ungulate/artiodactyl_mammal/living_thing
goose fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/waterfowl/water_fowl/animate_being/anseriform_bird/craniate/living_thing
gorilla primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing
hawk raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/
human primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing
jackal canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing
jaguar feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat
leopard feline/cat/beast/animal/organism/fauna/placental/carnivore/causal_agent/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat
lion feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat
mamba snake/reptile/elapid/elapid_snake/serpent/ophidian
mouse rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/
orangutan primate/vertebrate/creature/beast/being/animal/organism/fauna/placental/hominid/chordate/eutherian/mammal/ape/mammalian/animate_being/eutherian_mammal/placental_mammal/craniate/physical_physical_entity/living_thing
owl raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/
pony bovid/mammal/horse/vertebrate/creature/beast/animal/organism/fauna/placental/eutherian/mammal/equine/mammalian/equid/living_thing/odd-toed_ungulate/animate_being/eutherian_mammal/perissodactyl/placental_mammal/craniate/hoofed_mammal/physical_entity/perissodactyl_mammal/equus_caballus
porcupine rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/
quail fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/wild_fowl/wildfowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing
rattlesnake snake/reptile/pit_viper/serpent/ophidian
squirrel rodent/vertebrate/creature/beast/animal/organism/fauna/placental/chordate/eutherian/mammal/mammalian/eutherian_mammal/gnawer/animate_being/living_thing/placental_mammal/craniate/
stegosaurus dinosaur/reptile/armored_dinosaur/archosaur/archosaurian/archosaurian_reptile/
tiger feline/cat/beast/animal/organism/fauna/placental/carnivore/chordate/felid/eutherian/mammal/mammalian/eutherian_mammal/animate_being/placental_mammal/craniate/big_cat
triceratops dinosaur/reptile/ceratopsian/horned_dinosaur/archosaur/archosaurian/archosaurian_reptile/
turkey fowl/bird/vertebrate/poultry/creature/beast/being/animal/organism/fauna/poultry/chordate/domestic_fowl/animate_being/gallinaceous_bird/craniate/gallinacean/living_thing
tyrannosaurus dinosaur/reptile/theropod/theropod_dinosaur/bird-footed_dinosaur/archosaur/archosaurian/archosaurian_reptile/
velociraptor dinosaur/reptile/maniraptor/archosaur/archosaurian/archosaurian_reptile/
viper snake/reptile/snake/serpent/ophidian
vulture raptor/bird/vertebrate/creature/beast/being/animal/organism/fauna/chordate/animate_being/craniate/living_thing/raptorial_bird/bird_of_prey/
wolf canine/vertebrate/creature/beast/canid/being/animal/organism/fauna/placental/carnivore/chordate/eutherian/mammal/mammalian/animate_being/eutherian_mammal/locomote/placental_mammal/craniate/domesticated_animal/physical_entity/domestic_animal/living_thing
: 4_Lexicographic_semantics - L02 [hypernyms - misc]
armchair chair/seat/piece_of_furniture/article_of_furniture/furnishing/artifact/artefact/unit/object/physical_object/physical_entity/entity
blender appliance/mixer/kitchen_utensil/utensil/implement/artifact/artefact/unit/object/physical_object/physical_entity/entity
bracelet jewelry/band/strip/slip/artifact/artefact/unit/object/physical_object/physical_entity/entity/jewellery/adornment/decoration/ornament/ornamentation/artifact/artefact/unit/object/physical_object/physical_entity/entity
brooch jewelry/jewellery/adornment/decoration/ornament/ornamentation/artifact/artefact/unit/object/physical_object/
cake dessert/baked_goods/food/solid_food/course/nutriment/nourishment/nutrition/sustenance/aliment/alimentation/victuals/food/nutrient/substance/matter/physical_entity/entity
computer device/machine/gadget/artifact/artefact/unit/object/physical_object/physical_entity/entity/expert/person/individual/someone/somebody/mortal/soul/causal_agent/cause/causal_agency/organism/being/physical_entity/living_thing/animate_thing/entity/unit/object/physical_object/
croissant pastry/bun/roll/bread/breadstuff/staff_of_life/baked_goods/starches/food/solid_food/foodstuff/food_product/solid/food/nutrient/matter/substance/physical_entity/entity
cup tableware/crockery/dishware/ware/article/artifact/artefact/unit/object/physical_object/physical_entity/entity/container
denim fabric/cloth/material/textile/artifact/artefact/unit/object/physical_object/physical_entity/entity/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity
deodorant toiletry/toilet_articles/artifact/artefact/unit/object/physical_object/physical_entity/entity
desk furniture/table/piece_of_furniture/article_of_furniture/furnishing/artifact/artefact/unit/object/physical_object/physical_entity/entity
diary journal/writing/written_material/piece_of_writing/written_communication/written_language/black_and_white/communication/abstraction/abstract_entity/entity/journal/book/volume/product/production/creation/artifact/artefact/unit/object/physical_object/physical_entity/entity
dishwasher appliance/machine/entity/unit/object/physical_object/white_goods/home_appliance/household_appliance/durables/durable_goods/consumer_durables/consumer_goods/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity
dress clothes/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
fridge appliance/icebox/white_goods/home_appliance/household_appliance/appliance/durables/durable_goods/consumer_durables/consumer_goods/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity
gasoline fuel/hydrocarbon/substance/organic_compound/matter/compound/chemical_compound/physical_entity/chemical/chemical_substance/entity/material/stuff/substance/part/portion/component_part/component/constituent/relation/abstraction/abstract_entity
grapefruit citrus/citrus_fruit/citrous_fruit/fruit/edible_fruit/fruit/produce/green_goods/green_groceries/garden_truck/food/matter/natural_object/physical_entity/unit/entity/object/physical_object
hairnet net/network/mesh/meshing/meshwork/fabric/cloth/material/textile/artifact/artefact/unit/object/physical_object/physical_entity/entity
hairpin pin/fastener/fastening/holdfast/fixing/restraint/constraint/device/artifact/artefact/unit/object/physical_object/physical_entity/entity
hamburger sandwich/snack_food/dish/nutriment/nourishment/nutrition/sustenance/aliment/alimentation/victuals/food/nutrient/substance/matter/physical_entity/entity/beef/boeuf/meat/food/solid_food/solid/matter/physical_entity/entity
jacket clothes/coat/overgarment/outer_garment/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
jeans trousers/pants/workwear/garment/clothing/clothes/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
juicer utensil/physical_entity/entity/unit/object/physical_object/squeezer/kitchen_utensil/implement/artifact/artefact/unit/object/physical_object/physical_entity/entity
lemon citrus/citrus_fruit/citrous_fruit/fruit/edible_fruit/fruit/produce/green_goods/green_groceries/garden_truck/food/matter/natural_object/physical_entity/unit/entity/object/physical_object
lotion toiletry/toilet_articles/artifact/artefact/unit/object/physical_object/physical_entity/entity/
mascara makeup/make-up/war_paint/cosmetic/toiletry/toilet_articles/artifact/artefact/unit/object/physical_object/physical_entity/entity
necklace jewelry/jewellery/adornment/decoration/ornament/ornamentation/artifact/artefact/unit/object/physical_object/physical_entity/entity
notebook book/volume/product/production/creation/artifact/artefact/unit/object/physical_object/physical_entity/entity/portable_computer/personal_computer/pc/microcomputer/digital_computer/computer/computing_machine/computing_device/data_processor/electronic_computer/information_processing_system/machine/device/artifact/artefact/unit/object/physical_object/physical_entity/entity
notepad pad/pad_of_paper/tablet/paper/material/stuff/substance/matter/part/portion/component_part/component/constituent/physical_entity/relation/entity/abstraction/abstract_entity
pastry food/dough/concoction/mixture/intermixture/foodstuff/food_product/food/nutrient/substance/matter/physical_entity/entity/baked_goods/solid_food/solid/matter/physical_entity/entity
peach fruit/drupe/stone_fruit/edible_fruit/fruit/produce/green_goods/green_groceries/garden_truck/food/matter/natural_object/physical_entity/unit/entity/object/physical_object
perfume toiletry/toilet_articles/artifact/artefact/unit/object/physical_object/physical_entity/entity
photo picture/image/representation/creation/artifact/artefact/unit/object/physical_object/physical_entity/entity
pie pastry/baked_goods/food/solid_food/solid/matter/physical_entity/entity/indo-european/indo-european_language/indo-hittite/natural_language/tongue/language/linguistic_communication/communication/abstraction/abstract_entity/entity
plum fruit/drupe/stone_fruit/edible_fruit/fruit/produce/green_goods/green_groceries/garden_truck/food/matter/natural_object/physical_entity/unit/entity/object/physical_object
postcard card/correspondence/first_class/1st_class/first-class_mail/1st-class_mail/written_communication/written_language/black_and_white/mail/communication/message/abstraction/abstract_entity/entity
shelf furniture/support/piece_of_furniture/article_of_furniture/furnishing/artifact/artefact/unit/object/physical_object/physical_entity/entity
shirt clothes/garment/clothing/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
sidewalk walk/walkway/paseo/path/way/artifact/artefact/unit/object/physical_object/physical_entity/entity
skirt clothes/garment/clothing/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
sofa furniture/seat/piece_of_furniture/article_of_furniture/furnishing/artifact/artefact/unit/object/physical_object/physical_entity/entity
stapler device/machine/artifact/artefact/unit/object/physical_object/physical_entity/entity
sunscreen cream/lotion/ointment/emollient/toiletry/toilet_articles/artifact/artefact/unit/object/physical_object/physical_entity/entity
sweater clothes/garment/clothing/article_of_clothing/vesture/wear/wearable/habiliment/consumer_goods/covering/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity/
toaster appliance/entity/unit/object/physical_object/kitchen_appliance/home_appliance/household_appliance/durables/durable_goods/consumer_durables/consumer_goods/commodity/trade_good/good/artifact/artefact/unit/object/physical_object/physical_entity/entity
toothbrush brush/toiletry/toilet_articles/implement/artifact/artefact/unit/object/physical_object/physical_entity/entity/mustache/moustache/facial_hair/hair/body_covering/covering/natural_covering/cover/natural_object/unit/object/physical_object/physical_entity/entity
tub container/vessel/artifact/artefact/unit/object/physical_object/physical_entity/entity
tv device/machine/receiver/receiving_system/set/electronic_equipment/equipment/artifact/artefact/unit/object/physical_object/physical_entity/entity/broadcasting/telecommunication/telecom/medium/artifact/artefact/unit/object/physical_object/physical_entity/entity
vase jar/vessel/container/artifact/artefact/unit/object/physical_object/physical_entity/entity
wristband band/strip/slip/artifact/artefact/unit/object/physical_object/physical_entity/entity/band/strip/slip/artifact/artefact/unit/object/physical_object/physical_entity/entity
: 4_Lexicographic_semantics - L03 [hyponyms - misc]
backpack daypack/kitbag/kit_bag
bag pouch/backpack/knapsack/packsack/rucksack/haversack/beanbag/bladder/pouch/carryall/holdall/tote/tote/drawstring/dust/vacuum/envelope/gasbag/gamebag/golf/gunnysack/gunny/burlap/ice/mailbag/postbag/nosebag/feedbag/pannier/plastic/purse/ragbag/rosin/sachet/sack/poke/paper/carrier/saddlebag/sandbag/schoolbag/shopping/sick_bag/sickbag/skin/sleeping/sweat/tea/toilet/sponge/tool/tucker-bag
bed bunk/berth/built/built-in/bunk/cot/camp/couch/deathbed/double/four-poster/hammock/sack/marriage_bed/murphy/plank-bed/platform/sickbed/single_bed/sleigh/trundle/truckle/truckle/twin/water/semi-double/semidouble
boat ferry/ark/barge/flatboat/hoy/lighter/bumboat/canal_boat/narrow_boat/narrowboat/ferryboat/fireboat/gondola/guard_boat/gunboat/junk/longboat/lugger/mackinaw/mackinaw/mailboat/mail/packet/packet/motorboat/powerboat/pilot/police/punt/river_boat/scow/sea_boat/small_boat/steamboat/surfboat/tender_boat/pinnace/cutter_boat/tugboat/tug/towboat/tower_boat/motorboat/yacht/sail/row/canoe/kayak/paddle/paddle_boat
book paperback/album/folio/hardback/hardcover/journal/novel/order/paper-back/softback/soft-cover/picture/sketchbook/sketch/notebook
brush toothbrush/bottlebrush/bristle/clothesbrush/hairbrush/nailbrush/paintbrush/sable/scrub/scrubbing/scrubber/shaving_brush
burger hamburger/cheeseburger/50/50_burger/angus_burger/banquet_burger/barbecue_burger/bøfsandwich/utter_burge/buffalo_burger/california_burger/chili_burger/curry_burger/hamdog/salmon_burger/rice_burger/veggie_burger
camera camcorder/box_camera/box_kodak/candid_camera/digital_camera/flash_camera/motion-picture_camera/movie_camera/cine-camera/point-and-shoot_camera/point-and-shoot/polaroid_camera/polaroid_land_camera/polaroid/portrait_camera/reflex_camera/webcam/webcamera/sound_camera
candy lollipop/candy_bar/carob_bar/hard_candy/brandyball/patty/bonbon/brittle/toffee/toffy/butterscotch/candy_cane/candy_corn/caramel/cotton_candy/spun_sugar/candyfloss/dragee/fondant/fudge/gumdrop/honey_crisp/mint/mint_candy/horehound/jelly_bean/jelly_egg/kiss/candy_kiss/licorice/liquorice/life_saver/sucker/all-day_sucker/lozenge/marshmallow/marzipan/marchpane/nougat/nougat_bar/nut_bar/peanut_bar/popcorn_ball/praline/rock_candy/rock/sugar_candy/sugarplum/taffy/truffle/chocolate_truffle/turkish_delight/easter_egg
car limousine/convertible/ambulance/beach/wagon/station/estate/waggon/bus/jalopy/heap/cab/hack/taxi/taxicab/compact/coupe/cruiser/police/patrol/prowl/squad/electric/hardtop/hatchback/hot-rod/jeep/landrover/limo/loaner/minicar/minivan/model/pace/racer/race/racing/roadster/runabout/two-seater/sedan/saloon/sports/sport/sport/suv/stanley/steamer/stock/subcompact/touring/tourer/used/secondhand
church chapel/abbey/basilica/cathedral/duomo/kirk
citrus lemon/orange/lime/mandarin/tangerine/yuzu
cloud thundercloud/cirrocumulus/cirrocumulus/cirrostratus/cirrus/contrail/condensation/trail/cumulonimbus/cumulonimbus/cumulus/nacreous/nebule/nimbus/rain/storm/stratus/mushroom/smoke
collar choker/ruff/ruffle/clerical/roman_collar/dog_collar/eton_collar/rabato_collar/rebato_collar/turtleneck/polo-neck/neckpiece
color white/black/blue/green/red/yello/orange/vermilion/amber/chartreuse/teal/violet/magenta/rose/azure/cyan/indigo/purple/brown
computer laptop/desktop/tablet/smartphone/supercomputer/iphone/ipad
container bag/handbag/pocketbook/purse/basket/handbasket/bin/bowl/pipe/bowl/box/bread-bin/breadbox/bunker/can/tin/canister/cannister/capsule/cargo/case/display/showcase/vitrine/cassette/cup/cylinder/dice/cup/box/dish/dispenser/drawer/dumpster/empty/envelope/glass/bag/bottle/mailer/manger/trough/measure/mold/mould/cast/package/parcel/pan/pod/pot/flowerpot/flask/receptacle/reliquary/saltcellar/savings/bank/coin/money/bank/scuttle/coal/scuttle/shaker/spoon/thimble/capsule/vessel/basket/bin/waste-paper/wastebasket/waste/file/can/pot/workbasket/workbox/workbag
cookware pot/baster/chafing/dish/cooker/sheet/tray/enamelware/grid/gridiron/griddle/pan/poacher/skimmer/steamer/turner
cup teacup/beaker/chalice/goblet/coffee_cup/dixie/paper_cup/grace/kylix/cylix/mustache_cup/moustache_cup/scyphus/grail
cushion pincushion/pillow/air/inflatable/gaddi/hassock/headrest/pillow/seat
cutlery knife/fork/spoon/tablefork/teaspoon/dessert_spoon/salad_fork/carving_fork
dessert cake/ambrosia/baked_alaska/blancmange/charlotte/compote/fruit_compote/dumpling/flan/frozen_dessert/junket/mold/mould/mousse/pavlova/peach_melba/pudding/pud/pudding/syllabub/sillabub/tiramisu/whip/zabaglione/sabayon/charlotte_russe/apple_dumpling/frozen_custard/soft_ice_cream/frozen_pudding/frozen_yogurt/ice-cream_cake/icebox_cake/ice-cream_cone/ice-cream_sundae/sundae/ice/frappe/ice_cream/icecream/ice_lolly/lolly/lollipop/popsicle/ice_milk/parfait/sherbert/sherbet/snowball/snowball/split/chocolate_mousse/trifle/brown_betty/chocolate_pudding/duff/plum_duff/flummery/nesselrode/nesselrode_pudding/pease_pudding/plum_pudding/christmas_pudding/roly-poly/roly-poly_pudding/steamed_pudding/suet_pudding/tapioca_pudding/vanilla_pudding/prune_whip/water_ice/sorbet/chocolate_ice_cream/neapolitan_ice_cream/peach_ice_cream/strawberry_ice_cream/tutti-frutti/vanilla_ice_cream/banana_split/tipsy_cake/spotted_dick/choc-ice
dress gown/caftan/kaftan/chemise/sack/shift/coatdress/cocktail_dress/sheath/dirndl/gown/jumper/pinafore/pinny/kirtle/morning/evening/muumuu/polonaise/sari/saree/shirtdress/strapless/sundress
drum tambourine/bass_drum/gran_casa/bongo/bongo_drum/snare_drum/snare/side_drum/tabor/tabour/tambour/tenor_drum/tom-tom/timbrel/djembe/doumbek/darbuka
emotion anger/choler/ire/anxiety/conditioned_emotional_response/cer/conditioned_emotion/emotional_state/spirit/fear/fearfulness/fright/fear/reverence/awe/veneration/hate/hatred/joy/joyousness/joyfulness/love/annoyance/chafe/vexation/bad_temper/ill_temper/dander/hackles/fury/rage/madness/huffiness/indignation/outrage/infuriation/enragement/umbrage/offense/offence/angst/anxiousness/disquiet/concern/care/fear/discomfiture/discomposure/disconcertion/disconcertment/edginess/uneasiness/inquietude/disquietude/insecurity/jitteriness/jumpiness/nervousness/restiveness/scruple/qualm/misgiving/sinking/sinking_feeling/worry/trouble/ecstasy/rapture/transport/exaltation/raptus/embarrassment/gratification/satisfaction/happiness/felicity/state/unhappiness/alarm/dismay/consternation/apprehension/apprehensiveness/dread/creeps/frisson/shiver/chill/quiver/shudder/thrill/tingle/horror/hysteria/intimidation/panic/terror/affright/scare/panic_attack/stage_fright/timidity/timidness/timorousness/abhorrence/abomination/detestation/execration/loathing/odium/despisal/despising/hostility/enmity/ill_will/malevolence/malignity/misanthropy/misogamy/misogyny/misogynism/misology/misoneism/misopedia/murderousness/elation/high_spirits/lightness/exhilaration/excitement/exuberance/exultation/jubilance/jubilancy/jubilation/agape/agape/agape_love/amorousness/enamoredness/ardor/ardour/benevolence/devotion/devotedness/filial_love/heartstrings/lovingness/caring/loyalty/puppy_love/calf_love/crush/infatuation/worship/adoration/aggravation/exasperation/displeasure/frustration/harassment/torment/pique/temper/irritation/fit/tantrum/scene/conniption/irascibility/short_temper/spleen/quick_temper/lividity/wrath/dudgeon/high_dudgeon/willies/comfort/quality_of_life/blessedness/beatitude/beatification/radiance/embitterment/sadness/sorrow/sorrowfulness/chill/pall/foreboding/premonition/presentiment/boding/gloom/gloominess/somberness/sombreness/suspense/trepidation/swivet/cold_feet/diffidence/self-doubt/self-distrust/shyness/aggression/aggressiveness/animosity/animus/bad_blood/antagonism/belligerence/belligerency/class_feeling/resentment/bitterness/gall/rancor/rancour/maleficence/malice/maliciousness/spite/spitefulness/venom/vindictiveness/vengefulness/misocainea/euphoria/euphory/bang/boot/charge/rush/flush/thrill/kick/intoxication/titillation/triumph/beneficence/warmheartedness/warmth/nirvana/enlightenment/mourning/bereavement/poignance/poignancy/presage/shadow/hesitance/hesitancy/unassertiveness/warpath/envy/enviousness/grudge/score/grievance/heartburning/sulkiness/huffishness/covetousness/jealousy/green-eyed_monster/penis_envy
flask thermos/ampulla/canteen/erlenmeyer_flask/hipflask/pocket_flask/round-bottom_flask/vacuum_flask/vacuum_bottle/dewar_flask/dewar/thermos_bottle/thermos_flask
guitar ukulele/bass/bass_guitar/acoustic_guitar/cittern/cithern/cither/citole/gittern/electric_guitar/hawaiian/steel/uke
gun rifle/air/airgun/antiaircraft/flak/flack/pom-pom/ack-ack/breechloader/cannon/firearm/piece/small-arm/gas/minute/quaker/set/spring/whaling
jewel diamond/ruby/pearl/emerald/sapphire
jewelry bracelet/bead/bijou/bling/bling_bling/bangle/clip/cufflink/earring/jewel/gem/precious_stone/necklace/pin/ring/band/tie_clip/bugle/anklet/ankle_bracelet/armilla/pendant_earring/drop_earring/eardrop/crown_jewel/diamond/emerald/pearl/ruby/sapphire/solitaire/chain/chain/string/strand/choker/collar/dog_collar/neckband/brooch/broach/breastpin/scatter_pin/stickpin/tie_tack/tiepin/scarfpin/annulet/engagement_ring/mourning_ring/ringlet/signet_ring/seal_ring/wedding_ring/wedding_band/ice/sparkler/seed_pearl/sunburst
mixer blender/liquidizer/liquidiser/eggbeater/eggwhisk/electric/whisk
month january/february/march/april/may/june/july/august/september/october/november/december/jan/feb/mar/apr/jun/jul/aug/sep/oct/nov/dec
oven broiler/dutch_oven/gas_oven/rotisserie/tandoor
painting watercolor/abstraction/cityscape/daub/distemper/finger-painting/icon/ikon/landscape/miniature/illumination/monochrome/mural/wall/nude/nude_painting/oil/pentimento/sand/seascape/waterscape/semi-abstraction/still_life/tanka/water-color/watercolour/water-colour/fresco/graffitti
poem haiku/abecedarius/alcaic/alcaic_verse/ballad/lay/ballade/blank_verse/elegy/lament/epic_poem/heroic_poem/epic/epos/free_verse/vers_libre/lyric/lyric_poem/rondeau/rondel/sonnet/tanka/terza_rima/verse/rhyme/versicle
railway monorail/cable/funicular/cog/rack/elevated/el/overhead/metro/tube/underground/subway/rail
season spring/harvest/haying/fall/autumn/springtime/summer/summertime/winter/wintertime/rainy/dry/growing/seedtime/sheepshearing/holiday/high/peak/off-season/preseason/baseball/basketball/exhibition/concert/fishing/football/hockey/hunting/social/theatrical/whitsun/whitsuntide/whitweek
seat chair/bench/box/ottoman/pouf/pouffe/puff/hassock/sofa/couch/lounge/stool/toilet
shelf bookshelf/hob/mantel/mantelpiece/mantle/mantlepiece/chimneypiece/overmantel/berm
shirt polo/camise/dashiki/daishiki/dress/evening/hair/jersey/t-shirt/tee/kurta/sport/tank/work-shirt
shoes sneakers/anklet/baby_shoes/balmoral/blucher/bowling_shoes/brogan/brogue/clodhopper/work_shoes/calceus/chopine/platform_shoes/chukka/boots/cleats/congress_shoes/gaiters/flipper_shoes/fin_shoes/ghillie/gillie/gym_shoes/tennis_shoes/loafers/moccasins/mocassins/oxford_shoes/pump_shoes/running_shoes/sabot/wooden_shoes/sandals/slingbacks/sling_shoes/walker_shoes/walking_shoes/wedgie/wing_shoes/tip_shoes/stiletto/heeled
sofa divan/diwan/convertible_sofa/daybed/loveseat/settee/squab
song lullaby/religious_song/anthem/aria/ballad/lay/barcarole/barcarolle/ditty/dirge/coronach/lament/requiem/threnody/drinking_song/folk_song/folksong/folk_ballad/lied/love_song/love-song/cradlesong/berceuse/oldie/golden_oldie/partsong/prothalamion/prothalamium/roundelay/scolion/banquet_song/serenade/torch_song/work_song
spice pepper/allspice/ajwain/cumin/caraway_seed/cardamom/cassia/cayenne/celery_seeds/chile_pepper/chile/cinnamon/clove/coriander/dill/fennel/fenugreek/frankincense/galangal/garlic/ginger/horseradish/jalapeño/juniper/licorice/mace/mustard/nutmeg/onion/paprika/peppercorns/saffron/savory/sesame/anise/sumac/tabasco/tamarind/turmeric/five_spice_powder/ginger/powdered_ginger/chinese_anise/star_anise/star_aniseed
sweater turtleneck/cardigan/pullover/slipover/turtle/polo-neck
tool rake/abrader/abradant/bender/clincher/comb/cutting_implement/drill/eolith/fork/gang/garden_tool/lawn_tool/grapnel/grapple/grappler/grappling_hook/grappling_iron/hack/hand_tool/hoe/jack/jaws_of_life/neolith/paleolith/pestle/muller/pounder/plow/plough/power_tool/punch/puncher/ram/rounder/saw_set/shaping_tool/strickle/stylus/style/tamp/tamper/tamping_bar/tap/upset/swage
toy doll/ball/balloon/cockhorse/dolly/dollhouse/house/frisbee/hobby/hobbyhorse/rocking/horse/hula-hoop/jack-in-the-box/jungle/gym/jumping/jack/kaleidoscope/kite/lego/meccano/shooter/pinata/pinwheel/playhouse/wendy/pogo/stick/popgun/rattle/sandbox/sandpile/sandpit/seesaw/teeter/teeter-totter/teetertotter/teeterboard/tilting/board/dandle/slide/playground/sliding/slingshot/sling/catapult/stick/horse/swing/teddy/bear/top/whirligig/teetotum/spinning/train/water_pistol/gun/squirt/squirter/yo-yo
trousers jeans/bellbottom_trousers/bell-bottoms/bellbottom_pants/breeches/knee_breeches/knee_pants/knickerbockers/knickers/chino/churidars/cords/corduroys/flannel/gabardine/tweed/white/jean/blue_jean/denim/jodhpurs/jodhpur_breeches/riding_breeches/long_trousers/long_pants/pajama/pyjama/pantaloon/pedal_pusher/toreador_pants/salwar/shalwar/short_pants/shorts/trunks/slacks/stretch_pants/sweat_pants/sweatpants/trews/britches/buckskins/plus_fours/trunk_hose/levi's/levis/bermuda_shorts/jamaica_shorts/hot_pants/lederhosen
weapon gun/bow/bow/arrow/dart/knucks/knuckles/flamethrower/knife/missile/pike/projectile/slasher/sling/spear/lance/shaft/stun/baton/sword/blade/brand/steel/tomahawk/hatchet/fire
weekday monday/workday/working_day/work_day/feria/mon/tuesday/tues/wednesday/midweek/wed/thursday/th/friday/fri/saturday/sabbatum/sat
: 4_Lexicographic_semantics - L04 [meronyms - substance]
atmosphere gas/oxygen/hydrogen/nitrogen/ozone
bag leather/fabric/plastic
beach sand/silicon/rocks/pebbles/atomic_number_14/si
beard hair
body flesh/bones
boots leather/canvas
bottle glass/plastic
bowl glass/china/aluminium/wood/steel/plastic/clay
box cardboard/tin/boxwood/turkish_boxwood
bread flour/yeast/
bronze copper/tin/cu/atomic_number_29
candy sugar/nougat/chocolate/gelatin/molasses/syrup/honey/fruit/nuts
chocolate cocoa/bean/cacao/cacao_bean/cocoa_bean
clothing fabric/leather/
cloud vapor/water/vapour/water_vapour/water_vapor
cocktail alcohol/juice/water
concrete silicon/cement/water/sand/atomic_number_14/si
desk wood/metal/steel
diamond carbon
doorknob metal/steel/bronze/wood
flag fabric/paper
glacier ice/water/oxygen/hydrogen/h/h2o/atomic_number_8/atomic_number_1/o/water_ice
glass silicone
house bricks/cement/wood/clay
ice water/oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
icicle ice/water
jam fruit/sugar/berries
jeans fabric/denim
lawn grass
lens glass/plastic
mirror glass/bronze
money paper/metal/silver/gold/iron/copper/tin
ocean water
omelette eggs/egg/milk/cheese
pastry flour/egg/butter/filling
penny metal/alloy/bronze/nickel/zinc/copper/tin
pill medicine/drug
plastic polymer/oil/gas/coal
roof shingles/tiles/wood/metal
sea water
snow water/oxygen/hydrogen/flake/ice/snowflake/snowflakes/h2o/atomic_number_1/atomic_number_8/h/o
spoon aluminium/wood/steel
steel iron/pearlite/carbon/cementite/ferrite/iron_carbide/fe/atomic_number_26/alpha_iron
table wood/metal/plastic
wall cement/bricks/stones/rocks/wood/cardboard/board/plank/clay/mud
water oxygen/hydrogen/water/h2o/atomic_number_1/atomic_number_8/h/o
wig hair
wine grapes/grape
wire metal
yogurt milk
: 4_Lexicographic_semantics - L05 [meronyms - member]
acrobat troupe
antelope herd
bee swarm/hive/colony/drift/cast/nest/rabble/stand
bird flock
